DFS,GreedyChoosing,Winner
40,27,first
47,23,first
47,33,first
0,50,second
44,42,first
60,40,first
9,37,second
76,27,first
22,23,second
1,19,second
60,25,first
34,25,first
23,40,second
44,15,first
34,38,second
1,28,second
54,31,first
19,39,second
30,39,second
45,15,first
8,17,second
29,35,second
2,42,second
8,19,second
44,51,second
0,44,second
58,22,first
2,17,second
34,42,second
59,10,first
32,41,second
34,18,first
67,22,first
45,21,first
41,18,first
11,58,second
18,29,second
42,42,tie
32,35,second
33,50,second
0,28,second
5,44,second
2,35,second
28,30,second
50,18,first
40,42,second
26,22,first
61,26,first
16,34,second
28,39,second
64,22,first
52,40,first
34,33,first
58,31,first
74,37,first
52,35,first
32,42,second
42,30,first
28,31,second
7,46,second
7,44,second
41,24,first
63,20,first
2,58,second
46,28,first
52,16,first
38,25,first
69,44,first
5,42,second
6,45,second
33,18,first
29,35,second
6,50,second
27,45,second
0,19,second
42,43,second
3,29,second
44,43,first
4,37,second
18,49,second
54,36,first
44,30,first
59,20,first
49,29,first
2,50,second
42,44,second
33,30,first
9,44,second
2,21,second
36,19,first
37,28,first
21,27,second
2,49,second
40,38,first
7,23,second
37,32,first
41,43,second
40,25,first
0,43,second
33,52,second
