DFS,DFS,Winner
58,19,first
41,47,second
40,47,second
59,4,first
4,30,second
51,43,first
78,19,first
25,58,second
11,70,second
21,46,second
22,45,second
15,63,second
17,37,second
25,40,second
52,22,first
52,21,first
33,21,first
57,14,first
16,47,second
26,40,second
123,3,first
24,54,second
46,36,first
49,26,first
20,84,second
53,26,first
24,39,second
25,29,second
46,23,first
10,39,second
50,37,first
4,48,second
39,47,second
9,56,second
37,50,second
49,15,first
18,58,second
26,40,second
50,58,second
25,41,second
6,42,second
54,25,first
74,5,first
57,27,first
32,38,second
22,39,second
28,29,second
38,18,first
45,49,second
21,58,second
8,36,second
35,31,first
34,48,second
49,31,first
43,56,second
31,35,second
51,30,first
28,35,second
41,37,first
35,47,second
37,81,second
40,5,first
18,51,second
45,61,second
43,37,first
31,47,second
68,3,first
28,36,second
34,35,second
21,50,second
38,46,second
64,40,first
28,37,second
40,52,second
51,24,first
26,38,second
20,54,second
17,52,second
79,29,first
48,19,first
20,44,second
48,24,first
8,48,second
67,32,first
34,6,first
42,34,first
52,37,first
47,8,first
19,66,second
48,36,first
57,13,first
57,3,first
47,58,second
44,24,first
50,24,first
5,81,second
33,18,first
40,43,second
45,35,first
50,23,first
