GreedyChoosing,BFS,Winner
25,42,second
33,33,tie
17,36,second
29,36,second
16,53,second
28,62,second
0,65,second
25,35,second
7,22,second
20,43,second
44,39,first
24,58,second
5,68,second
27,59,second
16,69,second
36,43,second
4,44,second
23,75,second
35,5,first
9,70,second
9,64,second
25,59,second
18,58,second
24,62,second
22,72,second
15,23,second
21,78,second
28,40,second
47,21,first
21,60,second
29,83,second
32,37,second
19,51,second
33,76,second
17,60,second
38,30,first
25,54,second
30,57,second
11,51,second
23,37,second
30,44,second
23,72,second
24,50,second
36,37,second
17,49,second
22,49,second
14,58,second
23,56,second
19,32,second
7,55,second
26,68,second
28,68,second
12,15,second
15,63,second
28,48,second
31,49,second
28,68,second
10,80,second
18,46,second
16,64,second
16,46,second
17,56,second
8,56,second
30,35,second
27,44,second
22,52,second
26,58,second
33,55,second
22,60,second
21,58,second
18,51,second
19,54,second
16,57,second
11,9,first
19,49,second
24,51,second
10,61,second
21,77,second
21,42,second
32,50,second
12,54,second
21,71,second
15,68,second
11,49,second
18,54,second
29,53,second
24,73,second
31,44,second
15,54,second
23,56,second
19,32,second
15,79,second
11,53,second
18,46,second
29,41,second
16,50,second
20,41,second
18,65,second
21,29,second
