GreedyChoosing,DQN,Winner
19,36,second
24,5,first
7,22,second
11,25,second
13,21,second
37,7,first
33,26,first
19,8,first
20,29,second
7,30,second
17,23,second
12,4,first
13,12,first
18,12,first
33,12,first
18,27,second
19,11,first
15,29,second
33,14,first
19,25,second
12,37,second
7,8,second
30,14,first
26,14,first
28,9,first
44,12,first
13,39,second
12,17,second
29,14,first
33,17,first
14,17,second
30,31,second
41,14,first
22,7,first
44,16,first
16,22,second
19,8,first
33,6,first
25,9,first
13,4,first
22,4,first
44,14,first
35,21,first
26,21,first
32,25,first
40,24,first
23,25,second
27,32,second
10,23,second
23,9,first
14,13,first
4,3,first
27,15,first
27,7,first
16,16,tie
14,16,second
27,15,first
27,19,first
33,28,first
30,15,first
27,24,first
23,11,first
40,11,first
23,1,first
30,20,first
31,21,first
44,22,first
32,22,first
6,10,second
33,15,first
34,13,first
36,16,first
16,8,first
47,17,first
33,30,first
32,10,first
7,35,second
17,13,first
33,26,first
33,13,first
36,12,first
46,7,first
29,20,first
19,8,first
17,21,second
23,10,first
49,16,first
25,6,first
21,14,first
15,31,second
46,19,first
18,19,second
21,6,first
37,13,first
19,12,first
16,31,second
18,12,first
41,11,first
0,30,second
54,6,first
