BFS,BFS,Winner
158,71,first
108,135,second
145,111,first
123,79,first
94,58,first
37,129,second
91,122,second
59,109,second
97,113,second
96,98,second
113,110,first
101,101,tie
108,80,first
89,82,first
167,88,first
165,130,first
101,81,first
101,93,first
135,116,first
68,137,second
82,132,second
95,91,first
113,133,second
111,114,second
93,168,second
129,65,first
111,95,first
120,136,second
94,86,first
119,114,first
105,91,first
98,87,first
115,119,second
123,107,first
75,131,second
127,160,second
139,130,first
69,113,second
127,97,first
141,92,first
120,85,first
107,103,first
145,119,first
158,88,first
82,81,first
47,137,second
57,88,second
85,144,second
120,113,first
64,57,first
73,80,second
144,104,first
117,115,first
62,73,second
150,137,first
104,102,first
160,106,first
102,65,first
66,88,second
168,93,first
75,23,first
126,61,first
106,66,first
50,68,second
139,71,first
106,67,first
164,99,first
89,147,second
101,56,first
142,62,first
90,108,second
92,59,first
103,95,first
117,104,first
122,64,first
129,125,first
90,101,second
85,101,second
106,122,second
110,125,second
21,90,second
120,118,first
95,113,second
24,77,second
104,116,second
102,91,first
110,159,second
131,101,first
119,86,first
129,147,second
89,104,second
139,103,first
134,96,first
97,115,second
64,114,second
97,137,second
163,107,first
58,92,second
43,59,second
135,100,first
