BFS,GreedyChoosing,Winner
121,35,first
59,28,first
143,37,first
94,44,first
54,37,first
150,53,first
42,50,second
121,29,first
86,49,first
167,30,first
81,50,first
93,24,first
128,58,first
56,46,first
162,35,first
101,32,first
128,42,first
90,26,first
179,42,first
120,29,first
134,21,first
195,18,first
126,39,first
145,31,first
83,30,first
83,39,first
131,27,first
179,15,first
109,27,first
100,33,first
119,31,first
138,35,first
73,26,first
91,40,first
117,37,first
136,35,first
165,26,first
148,50,first
125,38,first
81,26,first
146,33,first
178,22,first
144,50,first
102,37,first
184,38,first
60,26,first
213,36,first
145,43,first
90,30,first
66,7,first
157,38,first
121,28,first
126,21,first
106,34,first
84,39,first
152,34,first
97,36,first
106,20,first
143,22,first
92,36,first
57,16,first
101,30,first
111,18,first
72,53,first
120,43,first
175,53,first
87,41,first
144,46,first
128,44,first
116,24,first
142,27,first
54,46,first
139,45,first
83,33,first
79,35,first
108,39,first
112,30,first
145,44,first
178,30,first
68,50,first
122,28,first
181,32,first
143,33,first
36,38,second
105,33,first
85,34,first
84,53,first
87,43,first
111,36,first
78,37,first
120,26,first
129,26,first
48,25,first
89,33,first
130,26,first
72,53,first
101,22,first
144,56,first
87,38,first
130,36,first
