BFS,DQN,Winner
176,6,first
101,11,first
104,13,first
67,33,first
99,18,first
132,27,first
80,33,first
163,11,first
161,15,first
115,28,first
105,16,first
127,17,first
131,15,first
137,19,first
41,24,first
154,13,first
158,39,first
127,16,first
134,19,first
66,14,first
120,18,first
166,46,first
134,19,first
151,9,first
155,16,first
140,10,first
138,9,first
98,26,first
143,34,first
156,24,first
117,31,first
177,27,first
91,22,first
154,10,first
174,12,first
101,14,first
156,29,first
91,9,first
149,19,first
170,13,first
156,28,first
154,13,first
99,8,first
121,29,first
53,26,first
64,28,first
141,11,first
120,14,first
148,15,first
111,31,first
128,11,first
96,29,first
140,14,first
143,33,first
124,43,first
111,23,first
44,34,first
107,26,first
184,27,first
70,20,first
131,23,first
104,21,first
151,22,first
43,15,first
170,10,first
143,34,first
70,25,first
91,31,first
103,16,first
132,28,first
105,19,first
98,27,first
130,13,first
160,18,first
58,14,first
128,18,first
130,25,first
103,12,first
131,24,first
113,16,first
149,26,first
170,22,first
97,16,first
110,10,first
145,20,first
113,31,first
113,19,first
169,17,first
62,21,first
152,22,first
101,31,first
129,18,first
159,16,first
129,12,first
100,21,first
165,17,first
151,28,first
169,22,first
120,11,first
140,23,first
