GreedyChoosing,BFS,Winner
12,23,second
21,19,first
19,7,first
25,9,first
7,15,second
11,19,second
10,12,second
7,20,second
11,18,second
7,25,second
12,13,second
5,31,second
13,19,second
16,19,second
6,35,second
7,20,second
9,29,second
9,21,second
14,18,second
6,33,second
4,23,second
9,11,second
27,23,first
18,25,second
17,33,second
7,29,second
14,14,tie
8,26,second
11,30,second
18,9,first
7,29,second
10,30,second
25,23,first
18,15,first
10,18,second
5,21,second
19,16,first
10,25,second
5,16,second
12,22,second
10,19,second
11,17,second
14,22,second
13,19,second
2,42,second
17,20,second
11,21,second
5,27,second
10,22,second
11,13,second
7,29,second
20,12,first
14,14,tie
6,27,second
16,14,first
14,24,second
18,23,second
8,14,second
23,22,first
15,13,first
8,35,second
13,23,second
13,24,second
14,20,second
12,18,second
13,28,second
15,21,second
11,20,second
7,23,second
14,14,tie
9,20,second
8,21,second
16,15,first
17,15,first
15,21,second
13,27,second
8,20,second
12,12,tie
26,7,first
9,34,second
16,24,second
17,14,first
10,32,second
26,10,first
13,18,second
23,18,first
10,16,second
12,27,second
5,33,second
12,21,second
16,21,second
10,21,second
14,18,second
5,27,second
7,20,second
16,26,second
4,38,second
14,13,first
11,30,second
14,14,tie
