DQN,DFS,Winner
90,32,first
43,156,second
81,78,first
56,84,second
44,110,second
80,80,tie
56,132,second
80,123,second
43,171,second
46,119,second
60,0,first
96,23,first
64,0,first
87,8,first
54,83,second
41,119,second
60,81,second
69,103,second
54,15,first
40,77,second
51,104,second
18,96,second
73,74,second
94,47,first
50,0,first
52,0,first
63,75,second
38,0,first
72,107,second
68,94,second
44,110,second
62,83,second
72,78,second
47,23,first
56,136,second
90,69,first
36,93,second
80,84,second
46,104,second
54,61,second
31,121,second
46,89,second
65,55,first
33,3,first
88,47,first
80,1,first
44,90,second
57,90,second
50,0,first
58,134,second
33,118,second
55,108,second
47,107,second
68,2,first
36,117,second
42,143,second
46,0,first
36,93,second
73,0,first
51,82,second
33,96,second
44,87,second
32,108,second
16,96,second
50,75,second
57,95,second
66,61,first
50,81,second
68,1,first
37,108,second
74,2,first
55,59,second
56,4,first
68,2,first
33,125,second
86,66,first
64,132,second
50,116,second
20,87,second
47,97,second
51,71,second
73,2,first
61,105,second
54,77,second
41,110,second
58,78,second
81,105,second
54,90,second
72,106,second
41,72,second
43,66,second
119,58,first
77,93,second
31,101,second
63,108,second
53,97,second
36,185,second
39,62,second
41,103,second
51,68,second
