DQN,BFS,Winner
15,117,second
30,85,second
34,99,second
14,123,second
15,171,second
21,71,second
32,65,second
10,125,second
25,89,second
37,136,second
12,149,second
10,117,second
27,138,second
36,127,second
36,147,second
13,137,second
13,160,second
12,135,second
11,103,second
23,165,second
8,79,second
6,139,second
13,107,second
38,142,second
36,63,second
28,133,second
18,105,second
15,57,second
23,75,second
17,92,second
18,97,second
17,119,second
23,96,second
19,108,second
14,90,second
16,192,second
20,100,second
19,104,second
12,64,second
39,69,second
29,81,second
29,101,second
38,90,second
26,115,second
20,138,second
27,127,second
15,139,second
32,154,second
17,91,second
19,184,second
18,129,second
19,134,second
8,143,second
24,140,second
25,154,second
14,176,second
12,35,second
29,150,second
14,99,second
22,103,second
6,119,second
32,125,second
13,87,second
33,125,second
14,97,second
28,56,second
23,154,second
26,141,second
13,105,second
16,190,second
22,102,second
22,50,second
27,134,second
25,132,second
27,76,second
6,61,second
30,179,second
26,56,second
25,190,second
10,93,second
22,105,second
21,157,second
26,215,second
29,124,second
15,160,second
18,161,second
20,137,second
18,102,second
20,80,second
24,181,second
21,105,second
38,125,second
9,142,second
16,70,second
28,45,second
7,128,second
24,111,second
10,102,second
5,124,second
10,119,second
