DFS,DQN,Winner
25,17,first
16,18,second
6,27,second
21,16,first
27,3,first
12,27,second
3,18,second
11,17,second
7,31,second
23,18,first
28,11,first
8,30,second
15,19,second
6,24,second
26,21,first
12,16,second
1,21,second
9,15,second
41,7,first
21,12,first
19,21,second
10,21,second
26,15,first
3,13,second
10,13,second
19,14,first
19,9,first
22,20,first
17,22,second
15,18,second
20,16,first
21,9,first
0,25,second
9,24,second
10,25,second
30,7,first
21,22,second
16,19,second
14,22,second
28,14,first
7,20,second
0,22,second
9,14,second
20,12,first
10,17,second
6,17,second
14,21,second
21,7,first
23,13,first
5,25,second
1,22,second
13,17,second
30,10,first
10,19,second
16,13,first
20,11,first
14,21,second
24,15,first
14,18,second
14,16,second
12,18,second
20,20,tie
21,13,first
0,19,second
19,18,first
9,22,second
26,12,first
17,12,first
1,13,second
18,20,second
5,21,second
29,18,first
4,10,second
21,21,tie
15,14,first
20,15,first
22,18,first
10,15,second
9,26,second
31,6,first
11,22,second
15,24,second
6,22,second
14,15,second
0,31,second
14,23,second
12,12,tie
10,17,second
11,14,second
13,23,second
11,29,second
17,23,second
12,13,second
15,23,second
24,11,first
5,21,second
12,18,second
22,16,first
7,22,second
14,19,second
