DFS,DFS,Winner
13,20,second
12,25,second
26,14,first
6,16,second
14,27,second
24,18,first
3,37,second
6,24,second
13,19,second
5,25,second
10,19,second
12,24,second
5,25,second
18,13,first
28,16,first
25,24,first
20,10,first
23,9,first
24,14,first
19,14,first
23,26,second
15,25,second
18,29,second
16,22,second
12,27,second
19,5,first
12,28,second
24,19,first
17,24,second
14,29,second
27,5,first
19,24,second
21,19,first
21,24,second
15,15,tie
17,7,first
4,21,second
10,19,second
24,16,first
27,15,first
25,9,first
14,18,second
11,22,second
25,13,first
32,15,first
11,13,second
21,19,first
34,14,first
24,17,first
22,16,first
18,16,first
15,25,second
16,23,second
14,29,second
19,13,first
19,17,first
16,9,first
17,18,second
13,13,tie
10,39,second
36,15,first
21,19,first
27,10,first
30,20,first
21,16,first
35,19,first
40,13,first
17,17,tie
31,21,first
14,21,second
10,25,second
14,24,second
17,25,second
19,14,first
9,29,second
12,24,second
8,27,second
17,14,first
12,14,second
24,19,first
15,22,second
9,30,second
17,22,second
20,19,first
21,21,tie
23,19,first
19,19,tie
12,35,second
24,13,first
25,15,first
12,24,second
18,24,second
17,21,second
11,3,first
19,17,first
17,20,second
26,15,first
18,11,first
15,18,second
17,27,second
