DFS,BFS,Winner
9,23,second
12,27,second
10,21,second
4,29,second
9,26,second
18,18,tie
0,32,second
10,25,second
7,25,second
5,23,second
9,26,second
4,29,second
5,30,second
22,23,second
0,15,second
5,35,second
18,23,second
0,41,second
8,26,second
5,26,second
16,25,second
25,23,first
0,37,second
17,16,first
9,23,second
11,23,second
5,32,second
11,29,second
1,37,second
4,27,second
11,22,second
6,31,second
7,25,second
8,26,second
3,26,second
11,41,second
4,27,second
5,19,second
15,23,second
23,10,first
15,31,second
8,23,second
17,26,second
7,31,second
10,29,second
1,25,second
2,31,second
15,28,second
7,28,second
8,26,second
9,32,second
6,32,second
12,30,second
3,29,second
0,27,second
10,31,second
2,33,second
25,14,first
0,25,second
0,29,second
4,40,second
4,35,second
7,35,second
4,41,second
20,24,second
9,22,second
4,26,second
6,15,second
27,25,first
0,28,second
6,27,second
1,27,second
5,37,second
8,24,second
7,35,second
6,36,second
5,39,second
13,22,second
8,27,second
11,21,second
9,27,second
10,33,second
7,22,second
7,21,second
0,32,second
21,31,second
6,31,second
3,41,second
22,20,first
2,32,second
0,26,second
7,24,second
13,24,second
24,11,first
20,21,second
5,30,second
6,19,second
12,21,second
9,21,second
0,16,second
