DFS,BFS,Winner
73,138,second
0,127,second
34,95,second
7,133,second
3,157,second
6,159,second
86,166,second
76,176,second
9,162,second
58,102,second
7,157,second
1,108,second
3,124,second
79,73,first
87,77,first
40,113,second
46,154,second
6,119,second
2,154,second
5,184,second
77,126,second
96,126,second
1,187,second
25,176,second
10,143,second
88,120,second
14,204,second
72,143,second
3,154,second
0,138,second
8,165,second
89,106,second
0,78,second
5,157,second
44,136,second
88,76,first
2,142,second
70,128,second
4,192,second
0,169,second
15,186,second
32,164,second
2,149,second
0,139,second
146,77,first
80,104,second
46,116,second
49,154,second
131,116,first
3,110,second
3,156,second
68,136,second
5,156,second
98,83,first
59,69,second
6,208,second
8,193,second
0,143,second
9,180,second
52,94,second
4,119,second
72,81,second
14,150,second
107,50,first
56,126,second
40,163,second
40,134,second
21,64,second
11,165,second
7,182,second
83,120,second
0,174,second
15,169,second
71,113,second
116,101,first
70,122,second
75,114,second
12,147,second
25,82,second
2,121,second
73,54,first
17,100,second
6,131,second
74,168,second
2,137,second
49,73,second
0,71,second
80,133,second
7,143,second
6,129,second
4,193,second
58,143,second
9,182,second
107,51,first
19,78,second
62,113,second
71,167,second
13,191,second
23,123,second
5,115,second
