GreedyChoosing,GreedyChoosing,Winner
48,35,first
55,41,first
50,36,first
34,25,first
49,11,first
61,46,first
34,63,second
27,29,second
39,45,second
42,29,first
40,28,first
32,42,second
17,40,second
32,24,first
28,58,second
41,47,second
28,27,first
49,38,first
30,42,second
22,15,first
43,50,second
70,35,first
44,47,second
28,87,second
14,44,second
28,19,first
29,23,first
44,35,first
36,60,second
47,14,first
49,35,first
15,14,first
40,60,second
41,57,second
15,60,second
28,55,second
44,54,second
48,37,first
55,14,first
16,45,second
19,50,second
35,42,second
40,73,second
52,45,first
50,7,first
68,59,first
37,39,second
34,33,first
42,16,first
23,57,second
30,47,second
24,25,second
40,22,first
30,75,second
37,47,second
38,39,second
29,37,second
21,65,second
46,48,second
20,65,second
30,44,second
27,68,second
45,47,second
48,42,first
42,40,first
60,24,first
57,28,first
20,48,second
5,12,second
24,31,second
31,52,second
42,44,second
68,31,first
42,72,second
80,30,first
23,28,second
38,29,first
50,37,first
43,32,first
35,58,second
45,47,second
35,28,first
41,38,first
57,24,first
37,60,second
29,26,first
41,27,first
49,29,first
32,50,second
45,50,second
31,59,second
40,40,tie
27,60,second
56,43,first
50,25,first
31,40,second
41,36,first
29,26,first
40,42,second
53,26,first
