DQN,DFS,Winner
10,29,second
15,16,second
23,6,first
18,15,first
20,10,first
17,12,first
17,17,tie
15,8,first
3,43,second
15,23,second
13,16,second
25,10,first
19,17,first
13,19,second
14,18,second
20,13,first
14,9,first
21,6,first
16,18,second
0,25,second
14,15,second
19,19,tie
11,28,second
2,25,second
18,21,second
16,31,second
16,23,second
17,21,second
19,23,second
14,16,second
15,20,second
17,25,second
28,5,first
12,39,second
17,12,first
13,21,second
31,1,first
16,15,first
14,21,second
22,8,first
23,14,first
14,27,second
26,3,first
17,16,first
11,19,second
16,5,first
9,13,second
15,14,first
13,24,second
21,3,first
12,30,second
7,25,second
17,17,tie
15,30,second
10,38,second
22,4,first
7,21,second
19,22,second
13,27,second
32,1,first
23,8,first
12,30,second
17,29,second
12,29,second
18,8,first
28,7,first
9,19,second
19,20,second
17,10,first
29,3,first
19,6,first
12,15,second
25,8,first
5,13,second
15,19,second
10,19,second
9,36,second
21,19,first
21,3,first
22,6,first
19,10,first
13,28,second
16,8,first
20,6,first
36,0,first
23,0,first
31,8,first
16,16,tie
30,6,first
9,23,second
14,3,first
22,9,first
23,13,first
11,22,second
15,13,first
19,18,first
18,21,second
18,6,first
18,17,first
22,6,first
