DQN,BFS,Winner
21,51,second
3,70,second
11,65,second
19,71,second
8,76,second
17,55,second
10,62,second
15,70,second
24,62,second
7,53,second
10,51,second
17,72,second
13,43,second
9,63,second
17,36,second
23,63,second
10,68,second
10,43,second
11,83,second
13,65,second
18,68,second
11,83,second
7,65,second
15,55,second
16,63,second
14,46,second
7,59,second
9,57,second
17,76,second
21,64,second
5,46,second
14,39,second
16,35,second
17,62,second
17,52,second
15,62,second
9,62,second
15,69,second
9,62,second
14,29,second
14,68,second
20,11,first
9,52,second
20,52,second
9,67,second
8,42,second
8,40,second
8,37,second
8,45,second
12,75,second
9,70,second
20,42,second
9,71,second
17,77,second
9,49,second
14,38,second
24,46,second
17,45,second
1,66,second
14,53,second
16,42,second
3,73,second
4,58,second
11,51,second
12,52,second
15,56,second
18,73,second
12,59,second
17,28,second
21,62,second
17,76,second
6,38,second
9,64,second
14,79,second
7,62,second
13,40,second
14,44,second
2,72,second
10,33,second
17,65,second
11,77,second
8,73,second
17,66,second
11,65,second
13,48,second
16,45,second
7,90,second
17,33,second
17,61,second
12,60,second
7,50,second
2,84,second
10,78,second
6,70,second
5,77,second
6,80,second
15,32,second
12,72,second
10,58,second
10,48,second
