DQN,GreedyChoosing,Winner
12,35,second
19,24,second
5,38,second
7,23,second
13,37,second
17,37,second
15,35,second
21,16,first
6,27,second
11,42,second
26,23,first
6,35,second
8,32,second
22,15,first
18,24,second
19,24,second
7,39,second
17,21,second
21,48,second
9,35,second
15,19,second
16,27,second
19,29,second
19,30,second
28,24,first
26,35,second
6,33,second
14,16,second
7,29,second
9,21,second
12,26,second
7,27,second
11,33,second
16,34,second
18,42,second
14,24,second
9,22,second
14,17,second
23,24,second
18,38,second
5,46,second
22,35,second
4,16,second
20,27,second
7,16,second
27,12,first
15,28,second
3,48,second
16,19,second
12,52,second
39,11,first
9,36,second
13,13,tie
13,15,second
17,29,second
15,25,second
11,29,second
15,35,second
45,3,first
20,32,second
24,15,first
20,9,first
3,39,second
13,35,second
23,25,second
12,29,second
2,34,second
7,16,second
28,23,first
20,37,second
10,24,second
13,23,second
11,23,second
17,23,second
24,41,second
21,19,first
9,34,second
15,28,second
17,12,first
15,26,second
22,12,first
14,28,second
16,33,second
11,17,second
14,18,second
18,27,second
14,30,second
11,25,second
25,37,second
15,32,second
10,47,second
12,19,second
12,42,second
23,14,first
15,30,second
7,22,second
24,3,first
16,29,second
14,39,second
10,30,second
