GreedyChoosing,DQN,Winner
5,7,second
42,24,first
46,29,first
23,17,first
22,18,first
8,3,first
40,24,first
13,8,first
21,13,first
12,11,first
18,31,second
5,3,first
32,22,first
13,12,first
24,19,first
21,20,first
25,14,first
23,13,first
26,17,first
19,13,first
35,29,first
26,18,first
34,24,first
10,8,first
4,5,second
21,12,first
17,12,first
40,30,first
17,15,first
24,20,first
40,39,first
30,29,first
20,13,first
17,10,first
27,17,first
18,9,first
23,18,first
21,16,first
33,25,first
40,35,first
7,5,first
29,31,second
24,11,first
35,35,tie
24,20,first
22,18,first
25,20,first
7,8,second
16,19,second
9,8,first
16,9,first
41,21,first
19,8,first
20,16,first
32,28,first
17,11,first
13,8,first
36,19,first
18,8,first
37,17,first
13,9,first
30,17,first
20,9,first
7,3,first
21,15,first
18,14,first
26,18,first
16,21,second
2,2,tie
16,21,second
8,6,first
18,19,second
23,13,first
17,12,first
10,6,first
25,19,first
9,6,first
13,6,first
13,25,second
11,12,second
23,14,first
13,9,first
12,12,tie
22,17,first
5,3,first
22,12,first
19,7,first
6,9,second
7,8,second
12,8,first
42,0,first
12,3,first
4,4,tie
50,1,first
5,2,first
7,5,first
7,3,first
8,7,first
6,4,first
16,13,first
13,10,first
15,8,first
16,7,first
32,20,first
6,3,first
26,17,first
35,24,first
19,13,first
19,16,first
8,34,second
33,19,first
13,6,first
29,23,first
13,9,first
11,19,second
9,5,first
6,5,first
42,31,first
21,6,first
9,9,tie
29,17,first
16,13,first
2,3,second
5,2,first
43,27,first
20,14,first
5,3,first
17,8,first
12,7,first
20,17,first
16,3,first
22,14,first
31,19,first
32,24,first
18,7,first
18,8,first
13,7,first
9,4,first
12,7,first
33,21,first
5,5,tie
18,10,first
20,33,second
30,17,first
23,14,first
11,9,first
5,5,tie
14,8,first
10,11,second
15,9,first
26,16,first
23,32,second
7,1,first
9,10,second
7,7,tie
28,23,first
15,11,first
11,9,first
8,8,tie
19,14,first
44,22,first
5,6,second
26,24,first
44,24,first
21,18,first
